chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;susc1;susexfisc1;susexnfisc1;sus1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;sustr;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;suscje;susexje;susje;sus1jetr;CP;SUS;Tram;Dpj;DPeI;DPCO;dpjio;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tpefetae1;tpefetaeje;tpefetacje1;tpefettr;TpEfet1jetr;tpiae1;tpiaeje;tpiacje1;tpitr;tpi1jetr;tpsvae1;tpsvaeje;tpsvacje1;tpsvtr;tpsv1jetr;tasae1;tasaeje;tasacje1;tastr;Tpaf1jetr;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix;cp.sus;cp.sus.fisc;tbaix.sus.fisc;cp.sus.fisc.penal;tbaix.sus.fisc.penal;mag1je;pib;h1;g1;g7;f2;f3;cm1je;k1je;ipm1je;ipsjud1je;iad1je;tc1je
TRF1_RO_2014;2014;TRF1;TRF 1ª Região;RO;0;9439;2531;2677;3501;462;250;0;18;35525;3910;5893;22293;1106;633;48;1642;;;;;3979;4;3975;9860;3;9857;;18324;192;18132;0;19034;192;18842;0;;;;;64419;0;96161;66232513;4561205;;61671308;5;1;3;6;1;0;0;0;0;16;221;7;26;0;240;;;;;;;;;;;;;;;;;;;;;9576;3259;3166;2401;252;17;191;290;1914;0;1914;11691;100;11591;0;23181;64419;42126;20780;41445;20572;13;34030981973;1748531;0,00195;37,87895;0,91505;13,72581;2115,00000;6332,46154;1635,92308;88,61250;0,76602;0,74166
TRF1_RR_2014;2014;TRF1;TRF 1ª Região;RR;0;3362;986;1240;1009;113;1;0;13;12836;1497;2157;8134;544;50;38;416;;;;;275;0;275;2626;2;2624;;7155;82;7073;0;3841;64;3777;0;;;;;19303;0;30095;27253938;3805904;;23448034;3;1;0;0;0;0;0;0;0;4;98;1;16;0;113;;;;;;;;;;;;;;;;;;;;;4259;1194;1623;1113;90;8;13;218;2939;0;2939;5939;17;5922;0;13137;19303;11169;12024;11081;12003;4;9744122309;496936;0,00280;54,84396;0,80493;22,73935;2625,75000;6798,50000;2549,50000;90,24779;0,96967;0,62499
TRF1_TO_2014;2014;TRF1;TRF 1ª Região;TO;0;7055;1494;1533;3569;205;242;0;12;21377;2383;2677;14184;1166;256;1;710;;;;;1438;10;1428;9283;4;9279;;19044;40;19004;0;21512;172;21340;0;;;;;52172;0;79709;46991381;2715292;;44276089;6;1;3;3;1;0;0;0;0;14;159;1;14;1;173;;;;;;;;;;;;;;;;;;;;;6599;1809;1739;2449;172;1;255;174;1730;1;1729;14499;44;14455;0;22828;52172;37988;20379;37731;20123;11;26189322646;1496880;0,00179;31,39288;0,93528;11,55737;2349,54545;6271,63636;1918,00000;121,95376;0,80838;0,69418
TRF1_BA_2014;2014;TRF1;TRF 1ª Região;BA;0;42360;5299;17994;16034;1870;24;20;1119;188837;7504;31688;131440;6594;257;176;11178;;;;;23990;2;23988;49172;7;49165;;95335;203;95132;0;79694;205;79489;0;;;;;317703;0;479388;326530012;25698031;;300831980;37;7;12;21;4;0;3;0;0;78;1036;8;84;2;1114;;;;;;;;;;;;;;;;;;;;;48350;6370;17484;20520;645;44;64;3223;10123;1;10122;69637;106;69531;0;128110;317703;186263;107590;185830;107482;66;223929966172;15126370;0,00146;21,58681;0,51566;7,36462;2068,66667;6154,93939;1787,68182;105,91293;0,85687;0,70955
TRF1_MA_2014;2014;TRF1;TRF 1ª Região;MA;0;14574;2814;6085;4620;563;12;1;479;66785;5064;14093;39197;3522;184;163;4562;;;;;12384;1;12383;34123;6;34117;;76655;326;76329;0;67382;435;66947;0;;;;;168290;0;271903;117362455;9821942;;107540513;16;4;6;8;2;0;2;0;0;34;407;6;43;1;445;;;;;;;;;;;;;;;;;;;;;12363;2678;5510;3172;213;19;16;755;16625;1;16624;66726;66;66660;0;95714;168290;129093;92542;128746;92507;28;76842027644;6850884;0,00153;17,13099;0,49629;6,49551;3240,60714;8049,85714;2824,60714;177,72809;0,86693;0,64911
TRF1_PI_2014;2014;TRF1;TRF 1ª Região;PI;0;8701;1924;3655;2759;346;4;1;12;48322;4127;10158;29387;1559;95;71;2925;;;;;6744;2;6742;11641;1;11640;;41445;232;41213;0;89490;232;89258;0;;;;;149453;0;206343;89174071;6597274;;82576797;14;5;3;5;1;0;1;0;0;27;326;1;26;0;351;;;;;;;;;;;;;;;;;;;;;11864;2660;5817;2573;331;14;12;457;3866;2;3864;46949;41;46908;0;62679;149453;120066;60106;119900;60080;24;37723496640;3194718;0,00236;27,91297;0,84515;10,98689;2088,70833;7831,58333;2450,54167;167,55840;1,17284;0,68709
TRF1_TRU_2014;2014;TRF1;TRF 1ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1110254384659;55033906;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF1_2º Grau_2014;2014;TRF1;TRF 1ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;519788;0;592940;468674034;37337491;;431336543;0;0;0;0;0;0;0;0;0;26;1000;48;219;33;314;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73152;519788;519788;73152;519788;73152;0;1110254384659;55033906;0,00042;8,51610;0,04724;0,57056;;;;0,00000;;
TRF1_total_2014;2014;TRF1;TRF 1ª Região;total;1;297956;43233;123466;113368;11995;629;32;5233;1357019;67473;243936;897079;50825;3613;1672;92421;;;;;149939;58;149881;340325;50;340275;;659841;2821;657020;0;623413;3190;620223;0;;;;;3095595;0;4093743;2554097890;267804238;;2286293652;273;69;72;118;24;0;18;1;5;558;7757;166;770;48;8409;;;;;;;;;;;;;;;;;;;;;332016;56166;149982;90673;10786;535;1322;22552;101365;11;101354;491615;1352;490263;0;998148;3095595;2198516;907475;2193231;905618;465;1110254384659;55033906;0,00230;46,40953;1,01392;15,27967;2047,10323;6318,77204;1771,24946;97,94637;0,85992;0,71968
TRF2_RJ_2014;2014;TRF2;TRF 2ª Região;RJ;0;126674;8608;34250;65235;5428;0;827;12326;587310;26952;93895;418377;12014;0;2776;33296;;;;;50023;21;50002;78242;9;78233;;154757;214;118213;36330;110774;726;89948;20100;;;;;776326;0;1107780;896194806;126069361;;770125444;105;47;12;28;0;0;8;3;0;181;2984;112;139;6;3017;;;;;;;;;;;;;;;;;;;;;153803;10836;46388;77597;4061;850;0;14071;44567;19;44548;165107;362;125002;39743;363477;776326;357949;285880;355173;285030;169;671076844311;16461173;0,00134;54,44295;1,09956;18,32798;1372,47337;5795,94675;1887,04142;105,70434;1,13317;0,67442
TRF2_ES_2014;2014;TRF2;TRF 2ª Região;ES;0;22077;2288;6825;9070;1291;0;173;2430;114224;5345;12991;86153;4285;0;409;5041;;;;;6014;7;6007;16627;7;16620;;29085;132;22871;6082;27033;189;22731;4113;;;;;157884;0;215060;164652378;13069623;;151582755;15;7;6;13;0;0;2;1;0;38;537;26;28;1;540;;;;;;;;;;;;;;;;;;;;;26242;2802;6763;12518;1473;16;0;2670;5483;5;5478;26291;176;19363;6752;58016;157884;71731;45498;71322;45482;32;128783781147;3885049;0,00128;42,38103;0,97811;13,89944;1327,40625;6013,09375;1641,65625;97,28333;1,02680;0,72699
TRF2_TRU_2014;2014;TRF2;TRF 2ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;799860625458;20346222;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF2_2º Grau_2014;2014;TRF2;TRF 2ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;120829;0;179074;358925353;43567580;;315357773;0;0;0;0;0;0;0;0;0;27;1014;19;103;29;743;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58245;120829;120829;58245;120829;58245;0;799860625458;20346222;0,00045;17,64088;0,13270;3,65178;;;;0,00000;;
TRF2_total_2014;2014;TRF2;TRF 2ª Região;total;1;148751;10896;41075;74305;6719;0;1000;14756;701534;32297;106886;504530;16299;0;3185;38337;;;;;56037;28;56009;94869;16;94853;;183842;346;141084;42412;137807;915;112679;24213;;;;;1052107;0;1531845;1419772537;182706564;;1237065972;120;54;18;41;0;0;10;4;0;246;4535;157;270;36;4684;;;;;;;;;;;;;;;;;;;;;180045;13638;53151;90115;5534;866;0;16741;50050;24;50026;191398;538;144365;46495;479738;1052107;547577;389623;544392;388757;201;799860625458;20346222;0,00178;69,78065;1,20907;23,02147;1365,29851;5830,51741;1847,97512;79,30038;1,11681;0,68305
TRF3_MS_2014;2014;TRF3;TRF 3ª Região;MS;0;19565;1240;10469;5774;1664;222;141;55;29801;1132;2798;23568;1099;125;339;740;;;;;2821;6;2815;9212;3;9209;;14687;0;14687;0;20112;0;20112;0;;;;;59125;0;96198;97124531;6291697;;90832834;21;3;3;0;0;0;0;0;0;27;318;1;10;1;328;;;;;;;;;;;;;;;;;;;;;7190;777;1795;2241;968;62;323;1024;2627;1;2626;6727;19;6708;0;16544;59125;35557;14303;35093;13918;24;78950132709;2619657;0,00123;37,07529;1,03067;12,52072;1409,75000;3506,87500;579,87500;42,42988;0,40631;0,83465
TRF3_SP_2014;2014;TRF3;TRF 3ª Região;SP;0;282871;4170;97183;109358;6605;338;886;64331;1707739;18756;184755;1259932;26357;139;2526;215274;;;;;92748;51;92697;282739;42;282697;;317026;46;316980;0;277001;568;276433;0;;;;;2267479;0;2960124;1298350190;134882314;;1163467877;210;60;33;4;0;0;8;2;1;296;4164;53;32;4;4147;;;;;;;;;;;;;;;;;;;;;438732;10691;167015;52376;4307;627;38;203678;53857;70;53787;197578;248;197330;0;690167;2267479;1007547;637791;1004882;637126;264;1858196055494;44035303;0,00070;29,48430;0,67219;9,41744;2024,02273;9790,29167;2410,26515;153,43863;1,06070;0,75381
TRF3_TRU_2014;2014;TRF3;TRF 3ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1937146188203;46654960;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF3_2º Grau_2014;2014;TRF3;TRF 3ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;442423;0;609141;529905913;64424465;;465481447;0;0;0;0;0;0;0;0;0;43;1819;46;30;13;1153;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166718;442423;442423;166718;442423;166718;0;1937146188203;46654960;0,00027;11,35798;0,09217;2,47133;;;;0,00000;;
TRF3_total_2014;2014;TRF3;TRF 3ª Região;total;1;302436;5410;107652;115132;8269;560;1027;64386;1737540;19888;187553;1283500;27456;264;2865;216014;;;;;95569;57;95512;291951;45;291906;;331713;46;331667;0;297113;568;296545;0;;;;;2861786;0;3735215;1925380634;205598476;;1719782158;238;55;18;3;0;0;15;4;1;366;6301;100;72;18;6291;;;;;;;;;;;;;;;;;;;;;445922;11468;168810;54617;5275;689;361;204702;56484;71;56413;204305;267;204038;0;873429;2861786;1578286;818812;1575157;817762;277;1937146188203;46654960;0,00099;41,26851;0,78448;13,48410;2051,17690;9634,66426;2347,38989;103,35829;1,02535;0,75636
TRF4_RS_2014;2014;TRF4;TRF 4ª Região;RS;0;98271;7194;50225;31579;2933;516;334;5490;371365;9414;68332;239007;11131;1228;881;41372;;;;;66611;35;66576;100689;20;100669;;213961;424;213537;0;135205;667;134538;0;;;;;607259;0;986102;563324350;44583358;;518740992;46;39;15;59;0;0;3;2;1;153;1737;4;4;0;1737;;;;;;;;;;;;;;;;;;;;;79426;6833;50847;16899;1963;344;260;2280;59004;21;58983;126204;468;125736;0;264634;607259;368252;247735;366143;247131;139;357816423821;11207274;0,00157;50,26417;1,36518;15,49886;2200,66187;5890,66187;1479,35252;118,38227;0,65858;0,74886
TRF4_PR_2014;2014;TRF4;TRF 4ª Região;PR;0;77340;11839;33664;23576;3001;1388;766;3106;280141;13890;52030;148049;9001;2110;1045;54016;;;;;36581;62;36519;79863;14;79849;;139680;373;139307;0;75234;521;74713;0;;;;;435238;0;688839;466063304;40728072;;425335232;40;25;12;53;0;0;5;0;0;125;1489;1;5;0;1493;;;;;;;;;;;;;;;;;;;;;59324;11669;35490;8180;1594;535;628;1228;39326;27;39299;73084;302;72782;0;171734;435238;287189;163554;284034;162391;113;348084190849;11081692;0,00134;42,05705;1,12799;13,47267;1873,98230;5065,44248;1171,75221;88,68587;0,61012;0,76868
TRF4_SC_2014;2014;TRF4;TRF 4ª Região;SC;0;80665;4138;26899;19221;3602;276;323;26206;165417;6461;27252;105198;5626;697;572;19611;;;;;36072;34;36038;66208;8;66200;;109662;287;109375;0;66834;519;66315;0;;;;;298459;0;524858;327355789;20244435;;307111354;16;22;9;39;0;0;1;1;1;83;1044;0;2;0;1046;;;;;;;;;;;;;;;;;;;;;41481;4005;25250;9683;1620;242;189;492;30817;24;30793;75871;323;75548;0;148169;298459;193261;138486;191992;138055;75;242553370851;6727148;0,00135;48,66190;1,23381;15,54894;2180,29333;5634,37333;1564,69333;112,19120;0,61658;0,72230
TRF4_TRU_2014;2014;TRF4;TRF 4ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;948453985521;29016114;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF4_2º Grau_2014;2014;TRF4;TRF 4ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;92789;0;222621;349307943;46986890;;302321053;0;0;0;0;0;0;0;0;0;27;981;9;2;4;621;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129832;92789;92789;129832;92789;129832;0;948453985521;29016114;0,00037;12,03841;0,09305;2,14019;;;;0,00000;;
TRF4_total_2014;2014;TRF4;TRF 4ª Região;total;1;256276;23171;110788;74376;9536;2180;1423;34802;816923;29765;147614;492254;25758;4035;2498;114999;;;;;139264;131;139133;246760;42;246718;;463303;1084;462219;0;277273;1707;275566;0;;;;;1708032;0;2421842;1706051386;152542755;;1553508631;102;86;36;151;0;0;9;3;2;388;5251;14;13;4;5254;;;;;;;;;;;;;;;;;;;;;180231;22507;111587;34762;5177;1121;1077;4000;129147;72;129075;275159;1093;274066;0;713810;1708032;1215778;679048;1209245;676850;327;948453985521;29016114;0,00180;58,79669;1,33719;18,10718;2083,10092;5546,71254;1392,62997;86,67491;0,63286;0,74893
TRF5_SE_2014;2014;TRF5;TRF 5ª Região;SE;0;8999;196;4390;2614;270;8;43;1478;24132;775;2908;17986;389;6;244;1824;;;;;4903;0;4903;2929;0;2929;;21597;0;21597;0;7118;0;7118;0;;;;;34179;0;69678;72083603;7411013;;64672591;8;1;3;0;1;0;0;0;0;13;230;2;60;1;289;;;;;;;;;;;;;;;;;;;;;10182;403;3731;3994;253;40;9;1752;6167;0;6167;19378;0;19378;0;35727;34179;16193;31733;15943;31684;10;37472431502;2219574;0,00192;32,47632;0,58570;13,02052;2906,70000;6184,60000;2956,00000;102,28374;0,96614;0,52204
TRF5_AL_2014;2014;TRF5;TRF 5ª Região;AL;0;16680;205;9321;3843;1215;8;67;2021;44186;887;5196;30345;713;12;205;6828;;;;;6814;0;6814;11623;0;11623;;42889;0;42888;1;14792;0;14792;0;;;;;70601;0;136984;99069388;7129887;;91939501;11;7;3;0;0;0;2;0;0;19;318;1;72;4;393;;;;;;;;;;;;;;;;;;;;;13462;489;4111;4679;708;76;21;3378;12940;0;12940;45270;0;45269;1;71672;70601;40256;66993;40039;66896;16;40974994014;3321730;0,00242;29,82464;0,57199;11,83118;3592,00000;7409,18750;3670,75000;149,44529;0,98595;0,50457
TRF5_PE_2014;2014;TRF5;TRF 5ª Região;PE;0;19921;644;6547;11007;572;32;137;982;112451;1933;12373;85913;2543;51;243;9395;;;;;20459;0;20459;38288;0;38288;;59545;0;59542;3;13171;0;13168;3;;;;;163910;0;263835;240374585;31886276;;208488309;32;10;9;0;0;0;1;0;0;50;797;36;130;5;896;;;;;;;;;;;;;;;;;;;;;47571;1352;11334;27038;1952;119;21;5755;49070;0;49070;62329;0;62326;3;158970;163910;77997;131932;77703;131792;41;155142647932;9277727;0,00155;25,90878;0,53893;9,65754;1910,04878;5002,14634;2680,48780;122,65625;1,38298;0,46413
TRF5_RN_2014;2014;TRF5;TRF 5ª Região;RN;0;16425;792;10492;2774;342;54;109;1862;38205;1816;7065;25672;723;191;318;2420;;;;;10681;0;10681;19298;0;19298;;36063;0;36063;0;13027;0;13027;0;;;;;70530;0;133699;113288185;13062567;;100225618;14;5;3;0;0;0;1;0;0;21;373;11;69;0;431;;;;;;;;;;;;;;;;;;;;;16162;1160;6358;6360;409;66;13;1796;24370;0;24370;40952;0;40952;0;81484;70530;44858;75124;44349;75045;18;54022583912;3408510;0,00210;33,23686;0,61610;12,64482;2803,50000;5762,22222;3173,00000;132,51508;1,08813;0,44934
TRF5_CE_2014;2014;TRF5;TRF 5ª Região;CE;0;18381;1036;7187;8055;1054;118;82;849;105709;2469;14653;71170;3672;60;168;13517;;;;;25544;0;25544;40118;0;40118;;82727;0;82722;5;25801;0;25797;4;;;;;171628;0;298280;244643100;26541517;;218101583;26;16;9;1;0;0;0;0;0;52;806;9;121;6;924;;;;;;;;;;;;;;;;;;;;;28333;903;8793;10669;1778;38;61;6091;43961;0;43961;85676;0;85670;6;157970;171628;100458;147301;100230;147202;43;126054471625;8842791;0,00194;27,66582;0,58805;10,44919;2326,83721;5409,72093;2651,37209;123,38636;1,12760;0,50989
TRF5_PB_2014;2014;TRF5;TRF 5ª Região;PB;0;10059;376;3854;4761;463;17;66;522;66569;2106;9809;47356;1267;35;211;5785;;;;;12848;0;12848;20517;0;20517;;39550;0;39545;5;16301;0;16301;0;;;;;103387;0;165844;123716797;13475370;;110241427;15;6;3;0;1;0;0;0;0;25;429;6;64;2;489;;;;;;;;;;;;;;;;;;;;;17688;731;5407;8332;257;49;26;2886;26877;0;26877;40857;0;40857;0;85422;103387;56031;77090;55785;77015;22;52936483065;3943885;0,00234;31,36927;0,63389;12,39894;2227,22727;6021,77273;2661,13636;119,72393;1,18013;0,55808
TRF5_TRU_2014;2014;TRF5;TRF 5ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;466603612050;31014217;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF5_2º Grau_2014;2014;TRF5;TRF 5ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;43273;0;85573;211714520;18902798;;192811721;0;0;0;0;0;0;0;0;0;13;525;25;214;12;446;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42300;43273;43273;42300;43273;42300;0;466603612050;31014217;0,00045;6,82637;0,04192;1,43805;;;;0,00000;;
TRF5_total_2014;2014;TRF5;TRF 5ª Região;total;1;90465;3249;41791;33054;3916;237;504;7714;391252;9986;52004;278442;9307;355;1389;39769;;;;;81249;0;81249;132773;0;132773;;282371;0;282357;14;90210;0;90203;7;;;;;661585;0;1295130;1104890177;118409428;;986480749;106;45;30;1;2;0;4;0;0;193;3478;90;730;30;4148;;;;;;;;;;;;;;;;;;;;;133398;5038;39734;61072;5357;388;151;21658;163385;0;163385;294462;0;294452;10;633545;661585;383143;572473;381399;571934;150;466603612050;31014217;0,00237;35,62528;0,62230;13,37451;2429,11333;5695,32000;2852,40000;103,14851;1,14758;0,49917
TRF_total_2014;2014;TRF;TRF;total;1;1095113;85959;424772;410235;40435;1786;5036;126890;5190619;164183;731753;3637989;151434;6463;11126;487671;;;;;522058;274;521784;1143399;216;1143183;;1921070;4297;1874347;42426;1825985;5782;1798542;21661;;;;;9379105;0;13077775;8710192624;927061462;;7783131162;832;317;192;315;26;0;49;10;8;1751;26795;527;1855;136;28786;;;;;;;;;;;;;;;;;;;;;1271053;108817;523264;331239;32129;3891;2060;269653;500431;178;500253;1456939;3250;1407184;46505;3698670;9379105;5741116;3367431;5723527;3361480;1431;5262318795891;182065419;0,00166;47,84101;0,96174;15,81080;1984,65758;7011,03215;1906,35360;94,76801;0,90445;0,72809
TRF1_DF_2015;2015;TRF1;TRF 1ª Região;DF;0;39939;2801;20438;9994;5205;0;0;1501;202536;3199;46502;123023;13763;0;0;16049;;;;;13344;0;13344;36396;2;36394;;44401;73;30796;13532;29216;116;28392;708;;;;;268148;0;334756;311212192;57428066;3270430;250513696;36;8;9;4;0;0;1;0;0;56;456;26;62;1;493;345;61;24;26;456;42;13;6;1;62;1;0;0;0;1;7288;1283;556;191;26;27025;2583;16772;4008;1357;0;0;2305;12204;0;12204;27379;47;24134;3198;66608;268148;145125;62600;145125;62600;47;215612862838;2914830;0,00144;106,76856;1,92121;16,91351;1474,61702;6725,36170;1157,53191;110,35294;0,64506;0,82789
TRF1_GO_2015;2015;TRF1;TRF 1ª Região;GO;0;29320;3552;8435;14136;3125;0;0;72;143285;3155;12146;116429;7907;0;0;3648;;;;;12117;5;12112;23395;0;23395;;63513;127;41892;21494;43190;152;40981;2057;;;;;209870;0;291666;232689277;23412848;40804;209235625;14;5;3;13;0;1;1;0;1;34;434;20;35;1;450;194;49;173;18;434;6;6;23;0;35;0;0;1;0;1;3170;1048;2921;273;20;16517;3665;5874;4912;1433;0;0;633;16300;1;16299;48979;115;39975;8889;81796;209870;93441;76884;93441;76884;32;173632450243;6610681;0,00134;35,19899;0,51432;6,80717;2227,09375;8728,37500;2046,75000;145,54667;0,70552;0,76551
TRF1_MT_2015;2015;TRF1;TRF 1ª Região;MT;0;17897;3646;5391;7536;1277;0;0;47;66706;5099;10348;44433;4705;0;0;2121;;;;;4612;2;4610;13687;2;13685;;22868;88;15728;7052;25127;119;23502;1506;;;;;105520;0;136119;125106761;10563857;1900773;112642131;4;3;2;10;0;1;0;0;0;20;311;12;7;1;307;100;29;172;10;311;1;1;5;0;7;0;0;1;0;1;871;908;2209;219;12;9012;2944;3747;1439;282;0;0;600;2789;2;2787;18798;69;14644;4085;30599;105520;61087;29160;61087;29160;18;107418318632;3265486;0,00116;38,31183;0,61247;9,40136;1870,33333;7366,55556;1545,00000;90,58632;0,68220;0,79027
TRF1_MG_2015;2015;TRF1;TRF 1ª Região;MG;0;98423;11204;36116;45379;4548;0;0;1176;411838;13320;62671;299710;17800;0;2;18335;;;;;38669;33;38636;136947;11;136936;;156161;399;117225;38537;205603;463;199903;5237;;;;;754388;0;954720;700253005;79717177;8693771;611842057;46;27;13;42;0;5;4;0;0;129;1462;62;88;5;1493;687;217;503;55;1462;27;20;39;2;88;3;0;2;0;5;8509;3288;10174;779;62;53613;9605;24616;15833;983;0;0;2576;27438;34;27404;119281;300;99265;19716;200332;754388;454678;184499;454676;184499;116;519331213138;20869101;0,00135;33,55454;0,61814;7,15412;1852,33621;7517,45690;1490,46552;115,80308;0,67912;0,80173
TRF1_AC_2015;2015;TRF1;TRF 1ª Região;AC;0;3395;1144;976;1082;189;0;0;4;12131;1185;1681;8035;782;0;0;448;;;;;1233;0;1233;4203;0;4203;;6642;74;4886;1682;7653;67;7299;287;;;;;23987;0;35125;50854751;6405419;0;44449332;3;2;2;2;0;1;0;0;0;10;95;4;8;0;99;57;15;15;8;95;5;2;0;1;8;0;0;0;0;0;771;262;166;120;4;2173;857;680;455;127;0;0;54;2013;0;2013;6952;81;5477;1394;11138;23987;15952;10683;15952;10683;8;13622801799;803513;0,00373;63,29051;1,24453;12,32090;1043,87500;3727,62500;1140,62500;92,17172;0,90914;0,69401
TRF1_AM_2015;2015;TRF1;TRF 1ª Região;AM;0;11784;2936;2866;5222;581;0;0;179;54882;3441;5142;41863;2569;0;0;1867;;;;;4995;4;4991;5142;1;5141;;10500;68;6261;4171;5294;219;4830;245;;;;;65318;0;87446;81895148;8527779;75500;73291869;3;3;2;7;0;1;1;0;0;15;183;14;19;1;189;76;29;67;11;183;7;4;6;2;19;1;0;0;0;1;1858;890;2136;262;14;5924;2289;1939;1246;173;0;0;277;8768;2;8766;7436;61;6566;809;22128;65318;23455;20882;23455;20882;13;86568184233;3938336;0,00095;20,79435;0,38087;4,79898;1379,53846;6343,07692;1027,69231;70,68783;0,59953;0,83798
TRF1_AP_2015;2015;TRF1;TRF 1ª Região;AP;0;3434;408;746;2079;129;0;0;72;15947;1065;1326;12046;939;0;0;571;;;;;0;0;0;0;0;0;;9760;28;7936;1796;9978;49;9635;294;;;;;25925;0;37584;59202422;4026322;248548;54927551;3;2;0;2;0;0;0;0;0;7;132;7;6;0;131;65;31;36;0;132;4;2;0;0;6;0;0;0;0;0;1323;524;778;0;7;3441;521;857;1695;75;0;0;293;0;0;0;8218;12;6781;1425;11659;25925;13879;9964;13879;9964;7;13861293272;766679;0,00427;77,21931;0,91303;17,08668;1618,00000;5588,42857;1665,57143;89,00000;0,88366;0,70196
